,,,,,,,,,,,,,,,,,,,,,,,
Short Date (month : year),NO,Error,NE,Error,CE,Error,SE,Error,SW,Error,CW,,NW,,Overall_mass_change,,,,,,,,
 Mar  : 14,-8.37E+01,,-1.38E+01,,-1.49E+02,,-1.34E+02,,-2.12E+02,,-1.38E+02,,-2.09000000E+02,,-9.40000000E+02,,,,,,,,
 Apr  : 14,-8.11E+01,,-1.49E+01,,-1.33E+02,,-9.02E+01,,-2.37E+02,,-1.56E+02,,-2.15000000E+02,,-9.28000000E+02,,,,,,,,
 May  : 14,-7.31E+01,,-2.58E+01,,-1.38E+02,,-7.29E+01,,-2.20E+02,,-1.39E+02,,-2.08000000E+02,,-8.76000000E+02,,,,,,,,
 Jun  : 14,-7.19E+01,,-2.88E+01,,-1.39E+02,,-8.39E+01,,-2.54E+02,,-1.44E+02,,-2.08000000E+02,,-9.30000000E+02,,,,,,,,
 Aug  : 14,-1.20E+02,,-1.43E+01,,-2.03E+02,,-1.15E+02,,-3.76E+02,,-1.97E+02,,-2.55000000E+02,,-1.28000000E+03,,,,,,,,
 Sep  : 14,-1.08E+02,,-3.28E+01,,-2.24E+02,,-1.43E+02,,-3.38E+02,,-1.71E+02,,-2.34000000E+02,,-1.25000000E+03,,,,,,,,
 Oct  : 14,-1.08E+02,,-1.84E+01,,-2.11E+02,,-1.31E+02,,-3.58E+02,,-1.78E+02,,-2.39000000E+02,,-1.24000000E+03,,,,,,,,
 Nov  : 14,-1.08E+02,,-1.44E+01,,-2.03E+02,,-1.49E+02,,-3.35E+02,,-1.64E+02,,-2.49000000E+02,,-1.22000000E+03,,,,,,,,
 Jan  : 15,-9.91E+01,,1.66E+01,,-1.49E+02,,-6.81E+01,,-4.27E+02,,-2.04E+02,,-2.59000000E+02,,-1.19000000E+03,,,,,,,,
 Feb  : 15,-1.09E+02,,1.06E+01,,-1.49E+02,,-1.18E+02,,-3.22E+02,,-1.86E+02,,-2.58000000E+02,,-1.13000000E+03,,,,,,,,
 Mar  : 15,-1.01E+02,,2.06E+01,,-1.48E+02,,-1.20E+02,,-3.08E+02,,-1.78E+02,,-2.77000000E+02,,-1.11000000E+03,,,,,,,,
 Apr  : 15,-9.73E+01,,3.48E+00,,-1.28E+02,,-1.19E+02,,-3.18E+02,,-1.86E+02,,-2.74000000E+02,,-1.12000000E+03,,,,,,,,
 Apr  : 15,-9.92E+01,,9.93E+00,,-1.30E+02,,-1.13E+02,,-3.35E+02,,-1.96E+02,,-2.84000000E+02,,-1.15000000E+03,,,,,,,,
 Jul  : 15,-1.34E+02,,-1.55E+01,,-1.76E+02,,-1.40E+02,,-3.42E+02,,-2.11E+02,,-3.09000000E+02,,-1.33000000E+03,,,,,,,,
 Aug  : 15,-1.50E+02,,-2.95E+01,,-1.95E+02,,-1.54E+02,,-3.58E+02,,-2.26E+02,,-3.21000000E+02,,-1.43000000E+03,,,,,,,,
 Sep  : 15,-1.65E+02,,-1.89E+01,,-1.95E+02,,-1.62E+02,,-3.82E+02,,-2.27E+02,,-3.40000000E+02,,-1.49000000E+03,,,,,,,,
 Dec  : 15,-1.55E+02,,-8.01E+00,,-1.77E+02,,-1.37E+02,,-3.67E+02,,-2.01E+02,,-3.53000000E+02,,-1.40000000E+03,,,,,,,,
 Jan  : 16,-1.56E+02,,1.57E+01,,-1.09E+02,,-1.58E+02,,-3.31E+02,,-2.19E+02,,-3.54000000E+02,,-1.31000000E+03,,,,,,,,
 Feb  : 16,-1.58E+02,,-6.61E+00,,-1.41E+02,,-1.55E+02,,-3.33E+02,,-2.39E+02,,-3.51000000E+02,,-1.38000000E+03,,,,,,,,
