Date,CE,CW,NE,NO,NW,SE,SW,,,,,,,,,
8/15/2000,5.562975561,6.864124097,1.881968302,2.242203613,7.80153488,11.55661507,1.598750838,,7/15/2000,5.702538414,7.011811373,1.757254915,2.281745134,8.094754305,10.69282134,1.795050622
9/3/2000,5.233794938,6.453735108,1.817658457,1.960498535,7.222880689,10.59632743,1.519497373,,8/15/2000,5.562975561,6.864124097,1.881968302,2.242203613,7.80153488,11.55661507,1.598750838
9/15/2000,5.232189809,6.431270157,1.810570882,1.953679829,7.187007846,10.58254754,1.520641457,,9/3/2000,5.233794938,6.453735108,1.817658457,1.960498535,7.222880689,10.59632743,1.519497373
10/15/2000,5.411910593,6.67561331,1.881302699,2.001185668,7.420521472,10.7871301,1.612976809,,9/15/2000,5.232189809,6.431270157,1.810570882,1.953679829,7.187007846,10.58254754,1.520641457
11/15/2000,5.26247981,6.473867225,1.831772519,1.919011814,7.184415735,10.37978555,1.566382429,,10/15/2000,5.411910593,6.67561331,1.881302699,2.001185668,7.420521472,10.7871301,1.612976809
3/15/2001,5.553336835,6.76253461,1.942766198,1.917714315,7.457161141,10.49608447,1.644879088,,11/15/2000,5.26247981,6.473867225,1.831772519,1.919011814,7.184415735,10.37978555,1.566382429
4/15/2001,5.467313893,6.473984227,1.883562463,1.838171623,7.268731596,10.11987145,1.594917292,,3/15/2001,5.553336835,6.76253461,1.942766198,1.917714315,7.457161141,10.49608447,1.644879088
5/15/2001,5.661308644,6.588275396,1.956370909,1.881760408,7.41590899,10.56527838,1.682746568,,4/15/2001,5.467313893,6.473984227,1.883562463,1.838171623,7.268731596,10.11987145,1.594917292
6/15/2001,5.570151217,6.629517695,1.928525716,1.861139107,7.27410742,10.52190022,1.618767553,,5/15/2001,5.661308644,6.588275396,1.956370909,1.881760408,7.41590899,10.56527838,1.682746568
7/15/2001,5.793352901,6.853029088,2.004515818,1.965806821,7.683782016,10.45013357,1.642927436,,6/15/2001,5.570151217,6.629517695,1.928525716,1.861139107,7.27410742,10.52190022,1.618767553
8/15/2001,5.616275044,6.723021083,2.015295095,1.956943554,7.530465274,10.44418829,1.626513814,,7/15/2001,5.793352901,6.853029088,2.004515818,1.965806821,7.683782016,10.45013357,1.642927436
9/15/2001,5.386957576,6.602447572,1.951156613,1.885129164,7.150375698,10.24240739,1.569147464,,8/15/2001,5.616275044,6.723021083,2.015295095,1.956943554,7.530465274,10.44418829,1.626513814
10/15/2001,5.636554394,6.728270097,2.031709139,1.939281079,7.391050206,10.61911171,1.599801266,,9/15/2001,5.386957576,6.602447572,1.951156613,1.885129164,7.150375698,10.24240739,1.569147464
11/15/2001,5.491874137,6.497571605,1.984516512,1.868039355,7.171577605,10.41364986,1.547223223,,10/15/2001,5.636554394,6.728270097,2.031709139,1.939281079,7.391050206,10.61911171,1.599801266
1/15/2002,5.750440687,6.686423472,2.087970927,1.912653776,7.449075783,10.87179523,1.596803403,,11/15/2001,5.491874137,6.497571605,1.984516512,1.868039355,7.171577605,10.41364986,1.547223223
2/15/2002,5.22859384,6.026636667,1.903032111,1.719457024,6.745806645,9.875359238,1.449441149,,1/15/2002,5.750440687,6.686423472,2.087970927,1.912653776,7.449075783,10.87179523,1.596803403
3/15/2002,5.823441197,6.6596449,2.124051167,1.895584649,7.486156441,10.9890623,1.630750755,,2/15/2002,5.22859384,6.026636667,1.903032111,1.719457024,6.745806645,9.875359238,1.449441149
4/15/2002,5.700021842,6.607415977,2.079008516,1.825759686,7.229511295,10.59469677,1.583026213,,3/15/2002,5.823441197,6.6596449,2.124051167,1.895584649,7.486156441,10.9890623,1.630750755
5/15/2002,5.857303505,6.923419291,2.163800375,1.877942724,7.566735876,11.08537727,1.660662218,,4/15/2002,5.700021842,6.607415977,2.079008516,1.825759686,7.229511295,10.59469677,1.583026213
6/15/2002,5.806342177,6.779513835,2.123442495,1.808689763,7.556359453,10.82993412,1.633087711,,5/15/2002,5.857303505,6.923419291,2.163800375,1.877942724,7.566735876,11.08537727,1.660662218
7/15/2002,5.915717725,6.902641652,2.193821045,2.008034251,7.783265815,11.29390245,1.633149399,,6/15/2002,5.806342177,6.779513835,2.123442495,1.808689763,7.556359453,10.82993412,1.633087711
8/15/2002,5.780372251,6.787464764,2.166525923,1.998968751,7.579450328,11.3993701,1.604311226,,7/15/2002,5.915717725,6.902641652,2.193821045,2.008034251,7.783265815,11.29390245,1.633149399
9/15/2002,5.622652099,6.571025548,2.094895446,1.925629973,7.360760652,10.94641,1.553110982,,8/15/2002,5.780372251,6.787464764,2.166525923,1.998968751,7.579450328,11.3993701,1.604311226
10/15/2002,5.869207382,6.815798359,2.150278004,1.980966427,7.625614894,11.46635428,1.609738447,,9/15/2002,5.622652099,6.571025548,2.094895446,1.925629973,7.360760652,10.94641,1.553110982
