Year,Month,SE,CE,NE,NO,NW,CW,SW
2014,11,27.72979329,32.3465874,7.7030897,3.180102525,6.179198332,7.508905509,6.035614188
2014,12,16.07346687,11.29260853,9.744046305,1.713322275,3.895793564,9.278371247,14.42839144
2015,1,13.1786197,15.32401121,14.49883784,1.567438348,1.920185291,5.008133409,6.961865337
2015,2,11.38713617,6.847405319,4.069695333,1.960879455,3.2522292,6.391186832,12.69019409
2015,3,20.58124322,13.75968518,5.92495936,1.185802265,1.707484251,3.095145014,5.056226177
2015,4,13.55641449,10.03543119,4.120699765,1.7128335,2.364460775,8.271936976,8.496382636
2015,5,19.17709736,10.95902849,2.298337213,1.185836826,6.899104325,7.638512886,9.800897979
2015,6,5.415933503,2.322274411,2.807339106,2.9506911,6.205840684,4.228535963,7.483942308
2015,7,2.624172878,4.729857265,5.350264719,4.083670593,2.453693261,1.869743022,3.51873677
2015,8,4.722898275,13.89610384,10.88216707,3.561989462,7.260180134,8.711202873,13.96019461
2015,9,26.30847159,28.00337192,8.370340457,3.996166096,9.952437003,11.9329179,19.36318713
2015,10,22.70473714,23.58634016,8.461409469,2.634725446,11.05092321,11.35255232,15.26637439
2015,11,7.816508816,8.448121788,9.658064534,3.034036352,10.6072596,9.78854773,7.281633306
2015,12,17.22202245,11.22083183,6.260497535,2.019850812,4.447942932,3.567975984,4.218134424
2016,1,29.80544713,10.56586868,9.976762162,2.51418928,3.108676089,4.460925898,3.734668983
2016,2,20.23143897,3.618376134,1.305102787,0.5448667115,2.473183703,3.081618954,5.884224664
2016,3,23.27988097,13.60990908,4.412052059,1.299210617,5.882739999,6.743384508,7.030652109
2016,4,19.1618111,3.146058541,2.807038392,4.29792397,16.45229531,16.09594458,11.12376982
2016,5,7.204016195,10.65005073,6.952226041,3.795254244,8.435246601,12.23562252,10.70741468
2016,6,15.86025435,5.954820853,5.023389698,3.368588139,7.555736711,9.900065774,12.12298271
2016,7,3.366798626,2.27012803,3.462061874,4.341876046,9.263026072,2.125115533,2.324014039
2016,8,7.189312319,5.644428686,5.403236885,18.78851756,17.8093375,5.718931697,5.771634857
2016,9,6.55489913,8.954620864,7.031415238,4.652472513,12.6986093,7.51463727,6.743042067
2016,10,37.40309995,39.32636948,12.74442394,3.079888632,6.480021236,12.97790744,13.50193218
2016,11,15.40324916,18.90348343,11.68521291,3.545876275,8.234319064,10.73229078,18.43138884
2016,12,22.33603043,17.15673434,6.013857263,1.851666168,2.810426733,5.884298874,5.559679799
2017,1,18.76258715,13.6177009,3.318823312,1.237147699,3.947348147,11.28118623,14.03814171
2017,2,22.06320512,23.65907998,4.364244041,0.9691399496,3.415497293,5.847746025,7.987964997
2017,3,10.07485055,4.200274528,1.439517155,1.423959138,5.854761007,4.50163754,5.4654328
2017,4,17.05426187,13.28964174,2.376715767,1.821808616,3.346124746,5.808155888,10.06008773
2017,5,12.94158143,12.86995419,4.207188113,4.177604308,14.27674631,12.3997254,7.914136587
2017,6,3.240138921,5.729256851,7.807855679,5.994972894,10.26823557,3.038876781,3.717405786
2017,7,16.01822453,7.592182153,4.473800095,4.330414724,7.264873567,5.515432772,14.05178752
2017,8,8.908092069,4.18965137,6.764991689,15.87198061,23.17222114,11.67198404,23.17881713
2017,9,22.03623149,30.23048581,17.43066599,4.24266535,9.628248703,12.82309073,15.76311607
2017,10,16.95292746,18.09310892,9.215695706,3.358057269,11.96869526,15.43669616,16.6687996
2017,11,17.29634469,8.118918201,4.590029957,0.834358827,4.011361112,8.416882067,15.00524436
2017,12,15.39027103,5.200272592,2.169459983,1.931727102,6.488254049,5.153075341,8.16463072
2018,1,16.77102955,19.60655821,8.58934644,0.5730806064,1.473965401,3.969115651,3.855067821
2018,2,18.20573637,34.10413442,20.42811459,1.137593199,2.699169418,5.491794152,8.506050604
